state,sex_gender_standardized,los_cutoff,p,se,p.m,p.lwr,p.upr,nStrata,p.raw
NM,Male,7,-0.9301948635413297,0.1002279870666038,0.39447683372882403,0.3241210867615294,0.48010443844774914,21331,0.344803337865079
NM,Male,14,-1.2714706954441406,0.12947713324582957,0.28041890755451393,0.2175685700747327,0.36142519890192204,21331,0.24677699123341615
NM,Male,30,-1.7157481091206068,0.1680717547120313,0.17982913855961338,0.1293591421570038,0.24999020970503355,21331,0.1674558154798181
NM,Male,60,-2.1693980979872878,0.18233588378239327,0.11424636133488998,0.07991674583188735,0.16332285483343983,21331,0.10787117340959168
NM,Male,90,-2.5686042850759225,0.20728734221466144,0.07664244180796832,0.05105355953958909,0.11505689200246287,21331,0.07392996108949416
NM,Female,3,-0.5827045924201493,0.07551006101244367,0.5583861156201774,0.4815710049469196,0.6474539598823172,7029,0.4664959453691848
NM,Female,7,-1.0717742104329913,0.10026129093711919,0.342400487674353,0.2813142999038259,0.41675127784017896,7029,0.28069426660975955
NM,Female,14,-1.4635764918559215,0.12951710727489343,0.23140716711663104,0.17952777323192415,0.2982785116137235,7029,0.19334186939820744
NM,Female,30,-2.000174475567561,0.16811771203764728,0.13531167259605884,0.09732697076954672,0.18812101718542254,7029,0.12491108265756153
NM,Female,60,-2.589986042034911,0.18233803207878566,0.07502108721973538,0.05247795942965994,0.10724813976761012,7029,0.07710911936264049
NM,Female,90,-3.1164817594898477,0.20729189226285813,0.04431279756829659,0.029517664370746325,0.06652369251392717,7029,0.04865556978233035
NM,Unknown Gender,3,-0.6559358120856724,0.07641840852752867,0.5189561898053415,0.44676920368766443,0.6028068289271695,21044,0.6008363429005893
NM,Unknown Gender,7,-1.1256898571762062,0.10150800889884229,0.3244285807577376,0.2658981605029449,0.39584291900851326,21044,0.3964075270861053
NM,Unknown Gender,14,-1.5230175311175607,0.13118848234442979,0.2180529117666446,0.1686141632840563,0.28198741673801025,21044,0.2634480136856111
NM,Unknown Gender,30,-2.0433212257310647,0.1706054126119815,0.12959757252827775,0.09276353205049495,0.18105747413843318,21044,0.15258505987454857
NM,Unknown Gender,60,-2.478915201907607,0.1867208228483336,0.08383411937535697,0.058141168276745474,0.120880948555907,21044,0.0948964075270861
NM,Unknown Gender,90,-2.8873407225270356,0.2126548423455348,0.05572420186674786,0.03673091328400697,0.0845387820791839,21044,0.06282075651016918
NM,Trans,3,-0.9055993687995054,0.2050085053865201,0.4042994879688912,0.2705201597134124,0.6042362097711099,NA,NA
NM,Trans,7,-1.4671211768426167,0.2583876176919669,0.23058835368073713,0.13896243953081863,0.38262849322964454,NA,NA
NM,Trans,14,-1.794325898571632,0.3094755104169508,0.16623947685344903,0.09063754452100774,0.3049019455519685,NA,NA
NM,Trans,30,-2.331854733627485,0.419830392140428,0.09711545664265563,0.042650888118999565,0.22113049305320662,NA,NA
NM,Trans,60,-2.705857519995704,0.5497841473352297,0.06681300578598007,0.02274489286939975,0.196262860756891,NA,NA
NM,Trans,90,-2.7117934523526164,0.5652046463037458,0.06641758306540228,0.02193713967411183,0.2010879907673384,NA,NA
NV,Male,3,-0.6694560078707421,0.07566181197362917,0.5119870189533672,0.44142354967811115,0.5938303648908241,58969,0.5094202038359138
NV,Male,7,-1.121562906284018,0.10065281290139584,0.32577024817207156,0.267445681116267,0.3968142396285572,58969,0.3833200495175431
NV,Male,14,-1.4830525113038102,0.13035347644862574,0.22694388123266476,0.17577673675244887,0.29300535543266826,58969,0.297834455391816
NV,Male,30,-2.1078185595041505,0.17091527232176695,0.12150272851936873,0.08691659157997272,0.16985149520121173,58969,0.16337397615696383
NV,Male,60,-2.8295230680673447,0.19728581061563286,0.05904100549651894,0.04010733067468512,0.08691279801974373,58969,0.0920144482694297
NV,Male,90,-3.2312681504518244,0.24450931304281798,0.03950736572329045,0.02446534633732599,0.06379766404583916,58969,0.055656361817226004
NV,Female,3,-0.764854713244203,0.07569184103078606,0.46540154274293527,0.4012349971216104,0.5398297694402148,18544,0.39187877480586714
NV,Female,7,-1.2631422531756795,0.10069484198845058,0.28276411263377543,0.2321200656337348,0.34445769768017087,18544,0.2708692838654012
NV,Female,14,-1.6751583077155912,0.13040809301298417,0.18727852949892415,0.14503887438111973,0.24181963463889805,18544,0.20055004314063848
NV,Female,30,-2.3922449259511045,0.17100306303486054,0.09142421274231115,0.0653887684997222,0.1278260298721925,18544,0.10472389991371872
NV,Female,60,-3.2501110121149677,0.19760901831427402,0.038769903663816226,0.02632022639228942,0.05710837770536539,18544,0.054357204486626405
NV,Female,90,-3.7791456248657496,0.24498210558118275,0.022842198897306206,0.0141321670528662,0.03692045590122538,18544,0.030360224331320105
NV,Unknown Gender,3,-0.8380859329097261,0.07661991589565935,0.4325376376580414,0.3722244640994238,0.5026236210547042,9946,0.5446410617333601
NV,Unknown Gender,7,-1.3170578999188944,0.10195361628898471,0.26792239804940043,0.21939460616164128,0.3271840298738015,9946,0.3739191634828072
NV,Unknown Gender,14,-1.7345993469772303,0.13208177065762455,0.17647088971982391,0.13622125223378467,0.22861318926256813,9946,0.2653327971043636
NV,Unknown Gender,30,-2.4353916761146084,0.173466301225269,0.08756344382116125,0.06232582709095882,0.12302053661689656,9946,0.13241504122260206
NV,Unknown Gender,60,-3.1390401719876637,0.20185870558298444,0.04332436188779248,0.029168206981227154,0.06435089870942204,9946,0.04685300623366177
NV,Unknown Gender,90,-3.5500045879029374,0.24992222999581745,0.028724507868683094,0.017600232661347255,0.046879911656513146,9946,0.01860044238890006
NV,Trans,3,-1.087749489623559,0.2050745905356446,0.3369740044877676,0.22544291487103454,0.5036817402998872,NA,NA
