"","state","ageCat","sex","race","releases"
"555","HI","35-44","Male","Other or Unknown",8
"556","HI","35-44","Male","White",56
"557","HI","45-54","Female","Black",1
"558","HI","45-54","Female","Hispanic",1
"559","HI","45-54","Female","Other or Unknown",1
"560","HI","45-54","Female","White",11
"561","HI","45-54","Male","Black",9
"562","HI","45-54","Male","Hispanic",5
"563","HI","45-54","Male","Other or Unknown",8
"564","HI","45-54","Male","White",44
"565","HI","55+","Female","Black",1
"566","HI","55+","Female","Hispanic",0
"567","HI","55+","Female","Other or Unknown",0
"568","HI","55+","Female","White",3
"569","HI","55+","Male","Black",6
"570","HI","55+","Male","Hispanic",5
"571","HI","55+","Male","Other or Unknown",1
"572","HI","55+","Male","White",36
"573","HI","Under 18","Female","Black",0
"574","HI","Under 18","Female","Hispanic",0
"575","HI","Under 18","Female","Other or Unknown",0
"576","HI","Under 18","Female","White",0
"577","HI","Under 18","Male","Black",0
"578","HI","Under 18","Male","Hispanic",0
"579","HI","Under 18","Male","Other or Unknown",0
"580","HI","Under 18","Male","White",0
"581","HI",NA,NA,NA,0
"582","IA","18-24","Female","Black",19
"583","IA","18-24","Female","Hispanic",20.1546520853336
"584","IA","18-24","Female","Other or Unknown",0
"585","IA","18-24","Female","White",70
"586","IA","18-24","Male","Black",217
"587","IA","18-24","Male","Hispanic",148.152949146051
"588","IA","18-24","Male","Other or Unknown",1
"589","IA","18-24","Male","White",402
"590","IA","25-34","Female","Black",43
"591","IA","25-34","Female","Hispanic",57.7226536673144
"592","IA","25-34","Female","Other or Unknown",0
"593","IA","25-34","Female","White",268
"594","IA","25-34","Male","Black",406
"595","IA","25-34","Male","Hispanic",324.558860796208
"596","IA","25-34","Male","Other or Unknown",0
"597","IA","25-34","Male","White",1201
"598","IA","35-44","Female","Black",34
"599","IA","35-44","Female","Hispanic",42.3578833745844
"600","IA","35-44","Female","Other or Unknown",0
"601","IA","35-44","Female","White",207
"602","IA","35-44","Male","Black",251
"603","IA","35-44","Male","Hispanic",224.483469688556
"604","IA","35-44","Male","Other or Unknown",1
"605","IA","35-44","Male","White",838
"606","IA","45-54","Female","Black",17
"607","IA","45-54","Female","Hispanic",13.2195278935103
"608","IA","45-54","Female","Other or Unknown",0
"609","IA","45-54","Female","White",99
"610","IA","45-54","Male","Black",139
"611","IA","45-54","Male","Hispanic",82.3680977009375
"612","IA","45-54","Male","Other or Unknown",1
"613","IA","45-54","Male","White",555
"614","IA","55+","Female","Black",9
"615","IA","55+","Female","Hispanic",1
"616","IA","55+","Female","Other or Unknown",0
"617","IA","55+","Female","White",27
"618","IA","55+","Male","Black",64
"619","IA","55+","Male","Hispanic",8
"620","IA","55+","Male","Other or Unknown",0
"621","IA","55+","Male","White",236
"622","IA","Under 18","Female","Black",0
"623","IA","Under 18","Female","Hispanic",0.441945056034292
"624","IA","Under 18","Female","Other or Unknown",0
"625","IA","Under 18","Female","White",0
"626","IA","Under 18","Male","Black",0
"627","IA","Under 18","Male","Hispanic",2.21950697387929
"628","IA","Under 18","Male","Other or Unknown",0
"629","IA","Under 18","Male","White",0
"630","ID","18-24","Female","Black",4
"631","ID","18-24","Female","Hispanic",74.3498855381251
"632","ID","18-24","Female","Other or Unknown",1
"633","ID","18-24","Female","White",85
"634","ID","18-24","Male","Black",19
"635","ID","18-24","Male","Hispanic",364.875426458862
"636","ID","18-24","Male","Other or Unknown",2
"637","ID","18-24","Male","White",427
"638","ID","25-34","Female","Black",7
"639","ID","25-34","Female","Hispanic",207.769169916493
"640","ID","25-34","Female","Other or Unknown",5
"641","ID","25-34","Female","White",321
"642","ID","25-34","Male","Black",51
"643","ID","25-34","Male","Hispanic",861.675813090448
"644","ID","25-34","Male","Other or Unknown",12
"645","ID","25-34","Male","White",1015
"646","ID","35-44","Female","Black",0
"647","ID","35-44","Female","Hispanic",133.800560257131
"648","ID","35-44","Female","Other or Unknown",1
"649","ID","35-44","Female","White",212
"650","ID","35-44","Male","Black",29
"651","ID","35-44","Male","Hispanic",588.523704236979
"652","ID","35-44","Male","Other or Unknown",14
"653","ID","35-44","Male","White",680
"654","ID","45-54","Female","Black",4
"655","ID","45-54","Female","Hispanic",52.1251176376598
"656","ID","45-54","Female","Other or Unknown",0
"657","ID","45-54","Female","White",113
"658","ID","45-54","Male","Black",22
"659","ID","45-54","Male","Hispanic",237.25029164997
"660","ID","45-54","Male","Other or Unknown",5
"661","ID","45-54","Male","White",426
"662","ID","55+","Female","Black",0
"663","ID","55+","Female","Hispanic",0
"664","ID","55+","Female","Other or Unknown",0
"665","ID","55+","Female","White",37
"666","ID","55+","Male","Black",8
"667","ID","55+","Male","Hispanic",18
"668","ID","55+","Male","Other or Unknown",3
"669","ID","55+","Male","White",178
"670","ID","Under 18","Female","Black",0
"671","ID","Under 18","Female","Hispanic",1.63204526531021
"672","ID","Under 18","Female","Other or Unknown",0
"673","ID","Under 18","Female","White",0
"674","ID","Under 18","Male","Black",0
